,Name,Age,Weight,Height,rank_position,slug_game,discipline_title,Sport
12240,Alise POST,25.0,58.0,158.0,2.0,rio-2016,Cycling BMX,Cycling BMX
12242,Brooke CRAIN,23.0,55.0,160.0,4.0,rio-2016,Cycling BMX,Cycling BMX
12243,Yaroslava BONDARENKO,19.0,62.0,158.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12244,Elke VANHOOF,24.0,60.0,163.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12245,Laura SMULDERS,22.0,73.0,170.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12246,Manon VALENTINO,25.0,64.0,172.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12247,Caroline BUCHANAN,25.0,68.0,165.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12249,Lauren REYNOLDS,25.0,69.0,176.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12250,Amanda CARR,26.0,60.0,165.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12251,Simone CHRISTENSEN,22.0,68.0,170.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12252,Nadja PRIES,22.0,56.0,161.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12255,Connor FIELDS,23.0,88.0,183.0,1.0,rio-2016,Cycling BMX,Cycling BMX
12258,Nicholas LONG,26.0,86.0,188.0,4.0,rio-2016,Cycling BMX,Cycling BMX
12260,Sam WILLOUGHBY,24.0,87.0,173.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12261,Niek KIMMANN,20.0,90.0,189.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12262,Anthony DEAN,25.0,87.0,175.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12263,Corben SHARRAH,24.0,85.0,183.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12266,Gonzalo MOLINA,21.0,83.0,178.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12267,Trent JONES,21.0,87.0,185.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12268,David GRAF,26.0,79.0,180.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12269,David GRAF,27.0,91.0,191.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12270,Luis BRETHAUER,23.0,82.0,176.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12275,Bodi TURNER,21.0,81.0,180.0,5.0,rio-2016,Cycling BMX,Cycling BMX
12276,Kyle DODD,22.0,80.0,178.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12278,Joris DAUDET,25.0,78.0,184.0,6.0,rio-2016,Cycling BMX,Cycling BMX
12280,Kyle EVANS,22.0,81.0,180.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12281,Niklas LAUSTSEN,23.0,95.0,189.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12282,Toni SYARIFUDIN,25.0,68.0,164.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12283,Amidou MIR,21.0,78.0,173.0,7.0,rio-2016,Cycling BMX,Cycling BMX
12284,Renato REZENDE,25.0,72.0,171.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12285,Yoshitaku NAGASAKO,22.0,70.0,172.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12286,Liam PHILLIPS,27.0,85.0,181.0,8.0,rio-2016,Cycling BMX,Cycling BMX
12289,Henrik STENSON,40.0,86.0,188.0,2.0,rio-2016,Golf,Golf
12291,Thomas PIETERS,24.0,85.0,196.0,4.0,rio-2016,Golf,Golf
12293,Kiradech APHIBARNRAT,27.0,104.0,172.0,5.0,rio-2016,Golf,Golf
12294,Marcus FRASER,38.0,89.0,183.0,5.0,rio-2016,Golf,Golf
12297,Emiliano GRILLO,23.0,78.0,175.0,8.0,rio-2016,Golf,Golf
12351,Harukyo NOMURA,23.0,60.0,163.0,4.0,rio-2016,Golf,Golf
12354,Brooke HENDERSON,18.0,50.0,163.0,7.0,rio-2016,Golf,Golf
12355,Minjee LEE,20.0,60.0,165.0,7.0,rio-2016,Golf,Golf
12356,Charley HULL,20.0,70.0,168.0,7.0,rio-2016,Golf,Golf
12357,Suzann PETTERSEN,35.0,68.0,173.0,10.0,rio-2016,Golf,Golf
12408,Margarita MAMUN,20.0,50.0,170.0,1.0,rio-2016,Gymnastics Rhythmic,Gymnastics Rhythmic
12409,Yana KUDRYAVTSEVA,18.0,47.0,170.0,2.0,rio-2016,Gymnastics Rhythmic,Gymnastics Rhythmic
12414,Neviana VLADINOVA,22.0,47.0,166.0,7.0,rio-2016,Gymnastics Rhythmic,Gymnastics Rhythmic
12416,Marina DURUNDA,19.0,51.0,170.0,9.0,rio-2016,Gymnastics Rhythmic,Gymnastics Rhythmic
12417,Kseniya MOUSTAFAEVA,21.0,50.0,163.0,10.0,rio-2016,Gymnastics Rhythmic,Gymnastics Rhythmic
12435,Rossella FIAMINGO,25.0,50.0,167.0,2.0,rio-2016,Fencing,Fencing
12437,Lauren REMBI,24.0,60.0,178.0,4.0,rio-2016,Fencing,Fencing
12438,Lauren REMBI,24.0,60.0,178.0,4.0,rio-2016,Fencing,Fencing
12439,Sarra BESBES,27.0,62.0,175.0,5.0,rio-2016,Fencing,Fencing
12440,Nathalie MOELLHAUSEN,30.0,63.0,177.0,6.0,rio-2016,Fencing,Fencing
12441,Nathalie MOELLHAUSEN,30.0,63.0,177.0,6.0,rio-2016,Fencing,Fencing
12482,Daniele GAROZZO,23.0,65.0,177.0,1.0,rio-2016,Fencing,Fencing
12483,Daniele GAROZZO,23.0,65.0,177.0,1.0,rio-2016,Fencing,Fencing
12484,Alexander MASSIALAS,22.0,81.0,188.0,2.0,rio-2016,Fencing,Fencing
12485,Alexander MASSIALAS,22.0,81.0,188.0,2.0,rio-2016,Fencing,Fencing
12486,Timur SAFIN,23.0,82.0,182.0,3.0,rio-2016,Fencing,Fencing
12487,Timur SAFIN,23.0,82.0,182.0,3.0,rio-2016,Fencing,Fencing
12488,Richard KRUSE,33.0,84.0,190.0,4.0,rio-2016,Fencing,Fencing
12489,Richard KRUSE,33.0,84.0,190.0,4.0,rio-2016,Fencing,Fencing
12490,Gerek MEINHARDT,26.0,80.0,183.0,5.0,rio-2016,Fencing,Fencing
12491,Gerek MEINHARDT,26.0,80.0,183.0,5.0,rio-2016,Fencing,Fencing
12492,Giorgio AVOLA,27.0,72.0,178.0,6.0,rio-2016,Fencing,Fencing
12493,Giorgio AVOLA,27.0,72.0,178.0,6.0,rio-2016,Fencing,Fencing
12495,Guilherme TOLDO,23.0,70.0,176.0,8.0,rio-2016,Fencing,Fencing
12496,Guilherme TOLDO,23.0,70.0,176.0,8.0,rio-2016,Fencing,Fencing
12498,James-Andrew DAVIS,25.0,98.0,195.0,10.0,rio-2016,Fencing,Fencing
12499,James-Andrew DAVIS,25.0,98.0,195.0,10.0,rio-2016,Fencing,Fencing
12532,Sofiya VELIKAYA,31.0,70.0,175.0,2.0,rio-2016,Fencing,Fencing
12533,Sofiya VELIKAYA,31.0,70.0,175.0,2.0,rio-2016,Fencing,Fencing
12535,Manon BRUNET,20.0,55.0,165.0,4.0,rio-2016,Fencing,Fencing
12536,Manon BRUNET,20.0,55.0,165.0,4.0,rio-2016,Fencing,Fencing
12538,Azza BESBES,25.0,62.0,175.0,6.0,rio-2016,Fencing,Fencing
12541,Mariel ZAGUNIS,31.0,72.0,173.0,9.0,rio-2016,Fencing,Fencing
12542,Mariel ZAGUNIS,31.0,72.0,173.0,9.0,rio-2016,Fencing,Fencing
12576,Inna DERIGLAZOVA,26.0,61.0,173.0,1.0,rio-2016,Fencing,Fencing
12580,Ysaora THIBUS,24.0,59.0,174.0,5.0,rio-2016,Fencing,Fencing
12581,Astrid GUYART,33.0,59.0,174.0,6.0,rio-2016,Fencing,Fencing
12582,Eleanor HARVEY,21.0,56.0,172.0,7.0,rio-2016,Fencing,Fencing
12584,Arianna ERRIGO,28.0,68.0,180.0,9.0,rio-2016,Fencing,Fencing
12585,Lee KIEFER,22.0,49.0,163.0,10.0,rio-2016,Fencing,Fencing
12612,Daryl HOMER,26.0,74.0,173.0,2.0,rio-2016,Fencing,Fencing
12615,Tiberiu DOLNICEANU,28.0,79.0,179.0,5.0,rio-2016,Fencing,Fencing
12616,Vincent ANSTETT,34.0,78.0,178.0,6.0,rio-2016,Fencing,Fencing
12618,Matyas SZABO,24.0,82.0,183.0,8.0,rio-2016,Fencing,Fencing
12620,Max HARTUNG,26.0,86.0,189.0,10.0,rio-2016,Fencing,Fencing
12646,Gauthier GRUMIER,32.0,83.0,188.0,3.0,rio-2016,Fencing,Fencing
12647,Gauthier GRUMIER,32.0,83.0,188.0,3.0,rio-2016,Fencing,Fencing
12648,Benjamin STEFFEN,34.0,78.0,189.0,4.0,rio-2016,Fencing,Fencing
12649,Benjamin STEFFEN,34.0,78.0,189.0,4.0,rio-2016,Fencing,Fencing
12650,Yannick BOREL,27.0,100.0,197.0,5.0,rio-2016,Fencing,Fencing
12651,Yannick BOREL,27.0,100.0,197.0,5.0,rio-2016,Fencing,Fencing
12652,Kazuyasu MINOBE,29.0,75.0,177.0,6.0,rio-2016,Fencing,Fencing
12653,Max HEINZER,28.0,77.0,178.0,7.0,rio-2016,Fencing,Fencing
12654,Max HEINZER,28.0,77.0,178.0,7.0,rio-2016,Fencing,Fencing
12655,Nikolai NOVOSJOLOV,36.0,93.0,191.0,8.0,rio-2016,Fencing,Fencing
12656,Enrico GAROZZO,27.0,70.0,190.0,9.0,rio-2016,Fencing,Fencing
12657,Enrico GAROZZO,27.0,70.0,190.0,9.0,rio-2016,Fencing,Fencing
12694,Chloe ESPOSITO,24.0,55.0,168.0,1.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12696,Oktawia NOWACKA,25.0,60.0,180.0,3.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12697,Annika SCHLEU,26.0,63.0,175.0,4.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12699,Natalya COYLE,25.0,60.0,170.0,6.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12700,Alice SOTERO,25.0,53.0,166.0,7.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12701,Samantha MURRAY,26.0,60.0,174.0,8.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12731,Pavlo TYMOSHCHENKO,29.0,78.0,192.0,2.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12733,Valentin PRADES,23.0,90.0,194.0,4.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12735,Patrick DOGUE,24.0,81.0,197.0,6.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12736,Max ESPOSITO,19.0,64.0,174.0,7.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12738,David SVOBODA,31.0,76.0,183.0,9.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12739,Joseph CHOONG,21.0,78.0,186.0,10.0,rio-2016,Modern Pentathlon,Modern Pentathlon
12768,Eric LAMAZE,48.0,65.0,170.0,3.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12769,Eric LAMAZE,48.0,65.0,170.0,3.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12770,Steve GUERDAT,34.0,70.0,182.0,4.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12771,Steve GUERDAT,34.0,70.0,182.0,4.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12772,Kent FARRINGTON,35.0,66.0,173.0,5.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12773,Kent FARRINGTON,35.0,66.0,173.0,5.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12775,Jeroen DUBBELDAM,43.0,85.0,185.0,7.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12776,Jeroen DUBBELDAM,43.0,85.0,185.0,7.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12778,Christian AHLMANN,41.0,80.0,189.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12779,Christian AHLMANN,41.0,80.0,189.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12782,Luciana DINIZ-KNIPPLING,45.0,55.0,175.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12783,Martin FUCHS,24.0,71.0,184.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12784,Martin FUCHS,24.0,71.0,184.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12785,Edwina TOPS-ALEXANDER,42.0,50.0,164.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12786,Edwina TOPS-ALEXANDER,42.0,50.0,164.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12787,McLain WARD,40.0,70.0,176.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12788,McLain WARD,40.0,70.0,176.0,9.0,rio-2016,Equestrian Jumping,Equestrian Jumping
12876,Anna KORAKAKI,20.0,65.0,175.0,1.0,rio-2016,Shooting,Shooting
12877,Anna KORAKAKI,20.0,65.0,175.0,1.0,rio-2016,Shooting,Shooting
12878,Monika KARSCH,33.0,55.0,158.0,2.0,rio-2016,Shooting,Shooting
12879,Monika KARSCH,33.0,55.0,158.0,2.0,rio-2016,Shooting,Shooting
12885,Antoaneta BONEVA,30.0,70.0,168.0,8.0,rio-2016,Shooting,Shooting
12886,Antoaneta BONEVA,30.0,70.0,168.0,8.0,rio-2016,Shooting,Shooting
12928,Christian REITZ,29.0,93.0,183.0,1.0,rio-2016,Shooting,Shooting
12929,Jean QUIQUAMPOIX,20.0,85.0,189.0,2.0,rio-2016,Shooting,Shooting
12933,Riccardo MAZZETTI,32.0,77.0,181.0,6.0,rio-2016,Shooting,Shooting
12934,Gurpreet SINGH,28.0,81.0,176.0,7.0,rio-2016,Shooting,Shooting
12935,Gurpreet SINGH,28.0,81.0,176.0,7.0,rio-2016,Shooting,Shooting
12938,Keith SANDERSON,41.0,95.0,183.0,10.0,rio-2016,Shooting,Shooting
12964,Pavol KOPP,37.0,74.0,183.0,7.0,rio-2016,Shooting,Shooting
12965,Pavol KOPP,37.0,74.0,183.0,7.0,rio-2016,Shooting,Shooting
12968,Will BROWN,24.0,61.0,170.0,10.0,rio-2016,Shooting,Shooting
12969,Will BROWN,24.0,61.0,170.0,10.0,rio-2016,Shooting,Shooting
13013,Alexis RAYNAUD,21.0,78.0,172.0,3.0,rio-2016,Shooting,Shooting
13014,Daniel BRODMEIER,28.0,100.0,180.0,4.0,rio-2016,Shooting,Shooting
13015,Daniel BRODMEIER,28.0,100.0,180.0,4.0,rio-2016,Shooting,Shooting
13016,Andre LINK,21.0,80.0,174.0,5.0,rio-2016,Shooting,Shooting
13021,Oleh TSARKOV,28.0,70.0,174.0,10.0,rio-2016,Shooting,Shooting
13022,Oleh TSARKOV,28.0,70.0,174.0,10.0,rio-2016,Shooting,Shooting
13023,Oleh TSARKOV,28.0,70.0,174.0,10.0,rio-2016,Shooting,Shooting
13083,Marco INNOCENTI,37.0,97.0,170.0,2.0,rio-2016,Shooting,Shooting
13086,James WILLETT,20.0,88.0,186.0,5.0,rio-2016,Shooting,Shooting
13088,Joshua RICHMOND,30.0,91.0,188.0,7.0,rio-2016,Shooting,Shooting
13106,Vitalina BATSARASHKINA,19.0,60.0,162.0,2.0,rio-2016,Shooting,Shooting
13107,Vitalina BATSARASHKINA,19.0,60.0,162.0,2.0,rio-2016,Shooting,Shooting
13108,Anna KORAKAKI,20.0,65.0,175.0,3.0,rio-2016,Shooting,Shooting
13109,Anna KORAKAKI,20.0,65.0,175.0,3.0,rio-2016,Shooting,Shooting
13161,Catherine SKINNER,26.0,80.0,172.0,1.0,rio-2016,Shooting,Shooting
13162,Natalie ROONEY,28.0,95.0,181.0,2.0,rio-2016,Shooting,Shooting
13165,Laetisha SCANLAN,26.0,51.0,163.0,5.0,rio-2016,Shooting,Shooting
13166,Jessica ROSSI,24.0,59.0,168.0,6.0,rio-2016,Shooting,Shooting
13167,Cynthia MEYER,50.0,51.0,163.0,7.0,rio-2016,Shooting,Shooting
13168,Mariya DMITRIYENKO,28.0,56.0,167.0,8.0,rio-2016,Shooting,Shooting
13182,Virginia THRASHER,19.0,55.0,155.0,1.0,rio-2016,Shooting,Shooting
13183,Virginia THRASHER,19.0,55.0,155.0,1.0,rio-2016,Shooting,Shooting
13188,Elaheh AHMADI,34.0,62.0,160.0,6.0,rio-2016,Shooting,Shooting
13190,Sarah SCHERER,25.0,62.0,173.0,8.0,rio-2016,Shooting,Shooting
13191,Sarah SCHERER,25.0,62.0,173.0,8.0,rio-2016,Shooting,Shooting
13193,Olivia HOFMANN,23.0,58.0,163.0,10.0,rio-2016,Shooting,Shooting
13194,Olivia HOFMANN,23.0,58.0,163.0,10.0,rio-2016,Shooting,Shooting
13244,Diana BACOSI,33.0,85.0,175.0,1.0,rio-2016,Shooting,Shooting
13245,Chiara CAINERO,38.0,81.0,171.0,2.0,rio-2016,Shooting,Shooting
13248,Morgan CRAFT,23.0,64.0,160.0,5.0,rio-2016,Shooting,Shooting
13249,Amber HILL,18.0,57.0,157.0,6.0,rio-2016,Shooting,Shooting
13250,Albina SHAKIROVA,29.0,50.0,165.0,7.0,rio-2016,Shooting,Shooting
13251,Melisa GIL,31.0,65.0,160.0,8.0,rio-2016,Shooting,Shooting
13253,Sutiya JIEWCHALOEMMIT,30.0,61.0,169.0,10.0,rio-2016,Shooting,Shooting
13265,Gabriele ROSSETTI,21.0,65.0,176.0,1.0,rio-2016,Shooting,Shooting
13268,Mykola MILCHEV,48.0,90.0,180.0,4.0,rio-2016,Shooting,Shooting
13269,Jesper HANSEN,35.0,95.0,180.0,5.0,rio-2016,Shooting,Shooting
13271,Eric DELAUNAY,28.0,83.0,178.0,7.0,rio-2016,Shooting,Shooting
13272,Anthony TERRAS,31.0,69.0,170.0,8.0,rio-2016,Shooting,Shooting
13274,Keith FERGUSON,36.0,78.0,176.0,10.0,rio-2016,Shooting,Shooting
13302,Giuseppe GIORDANO,42.0,74.0,170.0,6.0,rio-2016,Shooting,Shooting
13303,Giuseppe GIORDANO,42.0,74.0,170.0,6.0,rio-2016,Shooting,Shooting
13305,Jitu RAI,28.0,64.0,160.0,8.0,rio-2016,Shooting,Shooting
13306,Jitu RAI,28.0,64.0,160.0,8.0,rio-2016,Shooting,Shooting
13361,Serhiy KULISH,23.0,64.0,176.0,2.0,rio-2016,Shooting,Shooting
13362,Serhiy KULISH,23.0,64.0,176.0,2.0,rio-2016,Shooting,Shooting
13363,Serhiy KULISH,23.0,64.0,176.0,2.0,rio-2016,Shooting,Shooting
13364,Vladimir MASLENNIKOV,21.0,73.0,171.0,3.0,rio-2016,Shooting,Shooting
13365,Abhinav BINDRA,33.0,70.0,173.0,4.0,rio-2016,Shooting,Shooting
13369,Oleh TSARKOV,28.0,70.0,174.0,8.0,rio-2016,Shooting,Shooting
13370,Oleh TSARKOV,28.0,70.0,174.0,8.0,rio-2016,Shooting,Shooting
13371,Oleh TSARKOV,28.0,70.0,174.0,8.0,rio-2016,Shooting,Shooting
13373,Are HANSEN,34.0,60.0,179.0,10.0,rio-2016,Shooting,Shooting
13437,Giovanni PELLIELO,46.0,93.0,173.0,2.0,rio-2016,Shooting,Shooting
13438,Edward LING,33.0,80.0,180.0,3.0,rio-2016,Shooting,Shooting
13440,Ahmed KAMAR,29.0,60.0,175.0,5.0,rio-2016,Shooting,Shooting
13441,Massimo FABBRIZI,38.0,110.0,177.0,6.0,rio-2016,Shooting,Shooting
13444,Giovanni CERNOGORAZ,33.0,90.0,186.0,9.0,rio-2016,Shooting,Shooting
13445,Maxime MOTTET,25.0,77.0,178.0,10.0,rio-2016,Shooting,Shooting
13472,Kirill GRIGORYAN,24.0,88.0,179.0,3.0,rio-2016,Shooting,Shooting
13477,Attapon UEA-AREE,26.0,78.0,175.0,8.0,rio-2016,Shooting,Shooting
13478,Cyril GRAFF,35.0,64.0,170.0,9.0,rio-2016,Shooting,Shooting
13545,Petra ZUBLASING,27.0,55.0,165.0,4.0,rio-2016,Shooting,Shooting
13546,Petra ZUBLASING,27.0,55.0,165.0,4.0,rio-2016,Shooting,Shooting
13547,Olivia HOFMANN,23.0,58.0,163.0,5.0,rio-2016,Shooting,Shooting
13548,Olivia HOFMANN,23.0,58.0,163.0,5.0,rio-2016,Shooting,Shooting
13549,Nina CHRISTEN,22.0,57.0,160.0,6.0,rio-2016,Shooting,Shooting
13550,Nina CHRISTEN,22.0,57.0,160.0,6.0,rio-2016,Shooting,Shooting
13552,Najmeh KHEDMATI,20.0,64.0,159.0,8.0,rio-2016,Shooting,Shooting
13553,Najmeh KHEDMATI,20.0,64.0,159.0,8.0,rio-2016,Shooting,Shooting
13590,Kristina VOGEL,25.0,66.0,160.0,1.0,rio-2016,Cycling Track,Cycling Track
13591,Kristina VOGEL,25.0,66.0,160.0,1.0,rio-2016,Cycling Track,Cycling Track
13592,Kristina VOGEL,25.0,66.0,160.0,1.0,rio-2016,Cycling Track,Cycling Track
13593,Rebecca JAMES,24.0,66.0,171.0,2.0,rio-2016,Cycling Track,Cycling Track
13594,Rebecca JAMES,24.0,66.0,171.0,2.0,rio-2016,Cycling Track,Cycling Track
13595,Katy MARCHANT,23.0,72.0,170.0,3.0,rio-2016,Cycling Track,Cycling Track
13596,Elis LIGTLEE,22.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13597,Elis LIGTLEE,22.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13598,Elis LIGTLEE,22.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13603,Natasha HANSEN,26.0,66.0,167.0,9.0,rio-2016,Cycling Track,Cycling Track
13604,Natasha HANSEN,26.0,66.0,167.0,9.0,rio-2016,Cycling Track,Cycling Track
13605,Natasha HANSEN,26.0,66.0,167.0,9.0,rio-2016,Cycling Track,Cycling Track
13606,Anna MEARES,32.0,70.0,165.0,10.0,rio-2016,Cycling Track,Cycling Track
13607,Anna MEARES,32.0,70.0,165.0,10.0,rio-2016,Cycling Track,Cycling Track
13608,Anna MEARES,32.0,70.0,165.0,10.0,rio-2016,Cycling Track,Cycling Track
13638,Elia VIVIANI,27.0,70.0,177.0,1.0,rio-2016,Cycling Track,Cycling Track
13639,Mark CAVENDISH,31.0,70.0,175.0,2.0,rio-2016,Cycling Track,Cycling Track
13642,Thomas BOUDAT,22.0,69.0,175.0,5.0,rio-2016,Cycling Track,Cycling Track
13643,Roger KLUGE,30.0,85.0,191.0,6.0,rio-2016,Cycling Track,Cycling Track
13645,Dylan KENNETT,21.0,75.0,178.0,8.0,rio-2016,Cycling Track,Cycling Track
13646,Dylan KENNETT,21.0,75.0,178.0,8.0,rio-2016,Cycling Track,Cycling Track
13647,Tim VELDT,32.0,78.0,186.0,9.0,rio-2016,Cycling Track,Cycling Track
13648,Tim VELDT,32.0,78.0,186.0,9.0,rio-2016,Cycling Track,Cycling Track
13649,Artyom ZAKHAROV,24.0,70.0,177.0,10.0,rio-2016,Cycling Track,Cycling Track
13658,Elis LIGTLEE,22.0,90.0,185.0,1.0,rio-2016,Cycling Track,Cycling Track
13659,Elis LIGTLEE,22.0,90.0,185.0,1.0,rio-2016,Cycling Track,Cycling Track
13660,Elis LIGTLEE,22.0,90.0,185.0,1.0,rio-2016,Cycling Track,Cycling Track
13661,Rebecca JAMES,24.0,66.0,171.0,2.0,rio-2016,Cycling Track,Cycling Track
13662,Rebecca JAMES,24.0,66.0,171.0,2.0,rio-2016,Cycling Track,Cycling Track
13663,Anna MEARES,32.0,70.0,165.0,3.0,rio-2016,Cycling Track,Cycling Track
13664,Anna MEARES,32.0,70.0,165.0,3.0,rio-2016,Cycling Track,Cycling Track
13665,Anna MEARES,32.0,70.0,165.0,3.0,rio-2016,Cycling Track,Cycling Track
13668,Kristina VOGEL,25.0,66.0,160.0,6.0,rio-2016,Cycling Track,Cycling Track
13669,Kristina VOGEL,25.0,66.0,160.0,6.0,rio-2016,Cycling Track,Cycling Track
13670,Kristina VOGEL,25.0,66.0,160.0,6.0,rio-2016,Cycling Track,Cycling Track
13709,Lauren ELLIS,27.0,64.0,166.0,4.0,rio-2016,Cycling Track,Cycling Track
13710,Lauren ELLIS,27.0,64.0,166.0,4.0,rio-2016,Cycling Track,Cycling Track
13711,Amalie DIDERIKSEN,20.0,62.0,175.0,5.0,rio-2016,Cycling Track,Cycling Track
13712,Kirsten WILD,33.0,78.0,178.0,6.0,rio-2016,Cycling Track,Cycling Track
13714,Annette EDMONDSON,24.0,65.0,171.0,8.0,rio-2016,Cycling Track,Cycling Track
13715,Annette EDMONDSON,24.0,65.0,171.0,8.0,rio-2016,Cycling Track,Cycling Track
13717,Laurie BERTHON,24.0,69.0,169.0,10.0,rio-2016,Cycling Track,Cycling Track
13728,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13729,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13730,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13733,Joachim EILERS,26.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13734,Joachim EILERS,26.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13735,Joachim EILERS,26.0,90.0,185.0,4.0,rio-2016,Cycling Track,Cycling Track
13738,Sam WEBSTER,25.0,80.0,183.0,7.0,rio-2016,Cycling Track,Cycling Track
13739,Sam WEBSTER,25.0,80.0,183.0,7.0,rio-2016,Cycling Track,Cycling Track
13740,Sam WEBSTER,25.0,80.0,183.0,7.0,rio-2016,Cycling Track,Cycling Track
13742,Krzysztof MAKSEL,25.0,80.0,181.0,9.0,rio-2016,Cycling Track,Cycling Track
13743,Krzysztof MAKSEL,25.0,80.0,181.0,9.0,rio-2016,Cycling Track,Cycling Track
13744,Matthew GLAETZER,23.0,86.0,190.0,10.0,rio-2016,Cycling Track,Cycling Track
13745,Matthew GLAETZER,23.0,86.0,190.0,10.0,rio-2016,Cycling Track,Cycling Track
13746,Matthew GLAETZER,23.0,86.0,190.0,10.0,rio-2016,Cycling Track,Cycling Track
13776,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13777,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13778,Jason KENNY,28.0,81.0,178.0,1.0,rio-2016,Cycling Track,Cycling Track
13779,Callum SKINNER,23.0,93.0,187.0,2.0,rio-2016,Cycling Track,Cycling Track
13780,Callum SKINNER,23.0,93.0,187.0,2.0,rio-2016,Cycling Track,Cycling Track
13781,Callum SKINNER,23.0,93.0,187.0,2.0,rio-2016,Cycling Track,Cycling Track
13783,Matthew GLAETZER,23.0,86.0,190.0,4.0,rio-2016,Cycling Track,Cycling Track
13784,Matthew GLAETZER,23.0,86.0,190.0,4.0,rio-2016,Cycling Track,Cycling Track
13785,Matthew GLAETZER,23.0,86.0,190.0,4.0,rio-2016,Cycling Track,Cycling Track
13786,Joachim EILERS,26.0,90.0,185.0,5.0,rio-2016,Cycling Track,Cycling Track
13787,Joachim EILERS,26.0,90.0,185.0,5.0,rio-2016,Cycling Track,Cycling Track
13788,Joachim EILERS,26.0,90.0,185.0,5.0,rio-2016,Cycling Track,Cycling Track
13791,Patrick CONSTABLE,21.0,95.0,183.0,8.0,rio-2016,Cycling Track,Cycling Track
13792,Patrick CONSTABLE,21.0,95.0,183.0,8.0,rio-2016,Cycling Track,Cycling Track
13793,Patrick CONSTABLE,21.0,95.0,183.0,8.0,rio-2016,Cycling Track,Cycling Track
13794,Maximilian LEVY,29.0,87.0,182.0,9.0,rio-2016,Cycling Track,Cycling Track
13795,Maximilian LEVY,29.0,87.0,182.0,9.0,rio-2016,Cycling Track,Cycling Track
